cell,cell_ontology_class,subtissue,mouse.sex,mouse.id,plate.barcode,n_genes,n_counts
C9.MAA000926.3_9_M.1.1,astrocyte,Cortex,M,3_9_M,MAA000926,1802,750343.0
C9.MAA000932.3_11_M.1.1,endothelial cell,Hippocampus,M,3_11_M,MAA000932,2404,510934.0
C9.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944,5159,2193992.0
C9.MAA001845.3_39_F.1.1,endothelial cell,Cerebellum,F,3_39_F,MAA001845,1755,177884.0
C9.MAA001895.3_38_F.1.1,brain pericyte,Cortex,F,3_38_F,MAA001895,2388,102628.0
D1.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560,3632,1190283.0
D1.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926,3143,1325989.0
D1.MAA000930.3_8_M.1.1,astrocyte,Cortex,M,3_8_M,MAA000930,4458,1139525.0
D1.MAA000932.3_11_M.1.1,endothelial cell,Hippocampus,M,3_11_M,MAA000932,4909,1369480.0
D1.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944,3281,1602624.0
D1.MAA001895.3_38_F.1.1,endothelial cell,Cortex,F,3_38_F,MAA001895,1899,74798.0
D10.B003275.3_38_F.1.1,oligodendrocyte precursor cell,Hippocampus,F,3_38_F,B003275,3901,1430037.0
D10.MAA000560.3_10_M.1.1,endothelial cell,Cortex,M,3_10_M,MAA000560,4153,1788375.0
D10.MAA000578.3_10_M.1.1,neuron,Cerebellum,M,3_10_M,MAA000578,3241,504821.0
D10.MAA000615.3_10_M.1.1,astrocyte,Striatum,M,3_10_M,MAA000615,2792,1434916.0
D10.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926,3385,804153.0
D10.MAA000942.3_8_M.1.1,oligodendrocyte,Striatum,M,3_8_M,MAA000942,5425,756246.0
D10.MAA001845.3_39_F.1.1,endothelial cell,Cerebellum,F,3_39_F,MAA001845,1454,95309.0
D11.B000621.3_56_F.1.1,endothelial cell,Hippocampus,F,3_56_F,B000621,7270,995583.0
D11.B003275.3_38_F.1.1,endothelial cell,Hippocampus,F,3_38_F,B003275,3003,972094.0
D11.MAA000553.3_10_M.1.1,endothelial cell,Hippocampus,M,3_10_M,MAA000553,2457,862423.0
D11.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560,2194,557878.0
D11.MAA000561.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000561,4894,2398924.0
D11.MAA000615.3_10_M.1.1,astrocyte,Striatum,M,3_10_M,MAA000615,2726,1558694.0
D11.MAA000638.3_9_M.1.1,endothelial cell,Cerebellum,M,3_9_M,MAA000638,2163,477554.0
D11.MAA000902.3_11_M.1.1,neuron,Striatum,M,3_11_M,MAA000902,4161,2060831.0
D11.MAA000923.3_9_M.1.1,oligodendrocyte,Hippocampus,M,3_9_M,MAA000923,3198,697079.0
D11.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926,4162,1121369.0
D11.MAA000935.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000935,2919,761356.0
D11.MAA000942.3_8_M.1.1,oligodendrocyte,Striatum,M,3_8_M,MAA000942,3622,400214.0
D11.MAA001845.3_39_F.1.1,endothelial cell,Cerebellum,F,3_39_F,MAA001845,1475,136532.0
D12.B003290.3_38_F.1.1,endothelial cell,Striatum,F,3_38_F,B003290,3171,802982.0
D12.MAA000424.3_11_M.1.1,neuron,Cerebellum,M,3_11_M,MAA000424,3880,940398.0
D12.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560,2989,919321.0
D12.MAA000561.3_10_M.1.1,neuron,Cortex,M,3_10_M,MAA000561,7300,944166.0
D12.MAA000641.3_9_M.1.1,oligodendrocyte,Cerebellum,M,3_9_M,MAA000641,4300,4517465.0
D12.MAA000926.3_9_M.1.1,neuron,Cortex,M,3_9_M,MAA000926,3718,490903.0
D12.MAA000941.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000941,3161,343403.0
D12.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944,2722,1428675.0
D12.MAA001895.3_38_F.1.1,brain pericyte,Cortex,F,3_38_F,MAA001895,2494,109656.0
D13.B000404.3_56_F.1.1,oligodendrocyte,Cerebellum,F,3_56_F,B000404,3079,721012.0
D13.B003275.3_38_F.1.1,endothelial cell,Hippocampus,F,3_38_F,B003275,1788,457465.0
D13.MAA000553.3_10_M.1.1,oligodendrocyte,Hippocampus,M,3_10_M,MAA000553,2992,450159.0
D13.MAA000615.3_10_M.1.1,neuron,Striatum,M,3_10_M,MAA000615,4528,991485.0
D13.MAA000926.3_9_M.1.1,astrocyte,Cortex,M,3_9_M,MAA000926,1243,246618.0
D13.MAA000941.3_8_M.1.1,endothelial cell,Hippocampus,M,3_8_M,MAA000941,2015,125057.0
D13.MAA000944.3_9_M.1.1,endothelial cell,Cortex,M,3_9_M,MAA000944,2268,1150262.0
D14.B003275.3_38_F.1.1,endothelial cell,Hippocampus,F,3_38_F,B003275,2557,738190.0
D14.B003290.3_38_F.1.1,endothelial cell,Striatum,F,3_38_F,B003290,1604,755208.0
D14.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560,4376,1866457.0
D14.MAA000581.3_10_M.1.1,endothelial cell,Cerebellum,M,3_10_M,MAA000581,3069,540140.0
D14.MAA000615.3_10_M.1.1,endothelial cell,Striatum,M,3_10_M,MAA000615,3361,1428061.0
D14.MAA000926.3_9_M.1.1,endothelial cell,Cortex,M,3_9_M,MAA000926,3928,602527.0
D14.MAA000930.3_8_M.1.1,endothelial cell,Cortex,M,3_8_M,MAA000930,3038,433800.0
D15.B003275.3_38_F.1.1,endothelial cell,Hippocampus,F,3_38_F,B003275,2436,881971.0
D15.MAA000550.3_10_M.1.1,oligodendrocyte,Hippocampus,M,3_10_M,MAA000550,3333,1966508.0
D15.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560,3149,1144036.0
D15.MAA000561.3_10_M.1.1,brain pericyte,Cortex,M,3_10_M,MAA000561,4854,1911826.0
D15.MAA000581.3_10_M.1.1,endothelial cell,Cerebellum,M,3_10_M,MAA000581,2600,504423.0
D15.MAA000925.3_9_M.1.1,oligodendrocyte,Striatum,M,3_9_M,MAA000925,3806,584437.0
D15.MAA000926.3_9_M.1.1,endothelial cell,Cortex,M,3_9_M,MAA000926,1974,121504.0
D15.MAA000935.3_8_M.1.1,oligodendrocyte precursor cell,Hippocampus,M,3_8_M,MAA000935,4102,948711.0
D15.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944,4276,2101267.0
D15.MAA000947.3_9_M.1.1,oligodendrocyte,Hippocampus,M,3_9_M,MAA000947,3067,703569.0
D16.B000621.3_56_F.1.1,oligodendrocyte,Hippocampus,F,3_56_F,B000621,4862,817654.0
D16.MAA000424.3_11_M.1.1,endothelial cell,Cerebellum,M,3_11_M,MAA000424,4356,1451035.0
D16.MAA000561.3_10_M.1.1,neuron,Cortex,M,3_10_M,MAA000561,8434,1490755.0
D16.MAA000581.3_10_M.1.1,endothelial cell,Cerebellum,M,3_10_M,MAA000581,2705,1237894.0
D16.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926,3043,353207.0
D16.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944,2921,1365515.0
D16.MAA000947.3_9_M.1.1,oligodendrocyte,Hippocampus,M,3_9_M,MAA000947,3533,853778.0
D16.MAA001853.3_38_F.1.1,neuron,Cerebellum,F,3_38_F,MAA001853,3264,389149.0
D16.MAA001895.3_38_F.1.1,brain pericyte,Cortex,F,3_38_F,MAA001895,3325,230317.0
D17.B000621.3_56_F.1.1,oligodendrocyte,Hippocampus,F,3_56_F,B000621,2963,866529.0
D17.B001688.3_38_F.1.1,oligodendrocyte,Hippocampus,F,3_38_F,B001688,2208,2786208.0
D17.B003275.3_38_F.1.1,endothelial cell,Hippocampus,F,3_38_F,B003275,2416,492380.0
D17.B003290.3_38_F.1.1,brain pericyte,Striatum,F,3_38_F,B003290,2742,1061517.0
D17.MAA000560.3_10_M.1.1,brain pericyte,Cortex,M,3_10_M,MAA000560,2774,779887.0
D17.MAA000561.3_10_M.1.1,brain pericyte,Cortex,M,3_10_M,MAA000561,8746,2116836.0
D17.MAA000581.3_10_M.1.1,endothelial cell,Cerebellum,M,3_10_M,MAA000581,2382,2198698.0
D17.MAA000902.3_11_M.1.1,oligodendrocyte,Striatum,M,3_11_M,MAA000902,2944,4156481.0
D17.MAA000923.3_9_M.1.1,endothelial cell,Hippocampus,M,3_9_M,MAA000923,5051,1146959.0
D17.MAA000926.3_9_M.1.1,astrocyte,Cortex,M,3_9_M,MAA000926,4195,388298.0
D17.MAA000940.3_8_M.1.1,neuron,Striatum,M,3_8_M,MAA000940,5385,222515.0
D17.MAA000942.3_8_M.1.1,oligodendrocyte,Striatum,M,3_8_M,MAA000942,3533,489113.0
D17.MAA000944.3_9_M.1.1,astrocyte,Cortex,M,3_9_M,MAA000944,3051,1227961.0
D17.MAA001845.3_39_F.1.1,neuron,Cerebellum,F,3_39_F,MAA001845,4020,528992.0
D18.MAA000561.3_10_M.1.1,endothelial cell,Cortex,M,3_10_M,MAA000561,3063,1742984.0
D18.MAA000581.3_10_M.1.1,neuron,Cerebellum,M,3_10_M,MAA000581,3935,1510187.0
D18.MAA000923.3_9_M.1.1,oligodendrocyte,Hippocampus,M,3_9_M,MAA000923,3818,777336.0
D18.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926,2883,359298.0
D18.MAA000928.3_9_M.1.1,oligodendrocyte,Cerebellum,M,3_9_M,MAA000928,3208,2364617.0
D18.MAA000935.3_8_M.1.1,astrocyte,Hippocampus,M,3_8_M,MAA000935,1872,424539.0
D18.MAA000940.3_8_M.1.1,oligodendrocyte,Striatum,M,3_8_M,MAA000940,3218,369186.0
D18.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944,2863,1285111.0
D18.MAA001894.3_39_F.1.1,oligodendrocyte,Cortex,F,3_39_F,MAA001894,1462,127198.0
D18.MAA001895.3_38_F.1.1,endothelial cell,Cortex,F,3_38_F,MAA001895,2764,130649.0
D19.B003290.3_38_F.1.1,neuron,Striatum,F,3_38_F,B003290,5038,694314.0
D19.MAA000553.3_10_M.1.1,astrocyte,Hippocampus,M,3_10_M,MAA000553,1797,217829.0
D19.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560,5041,2068321.0
D19.MAA000561.3_10_M.1.1,endothelial cell,Cortex,M,3_10_M,MAA000561,5401,2164702.0
D19.MAA000564.3_10_M.1.1,oligodendrocyte,Striatum,M,3_10_M,MAA000564,3244,703341.0
D19.MAA000581.3_10_M.1.1,endothelial cell,Cerebellum,M,3_10_M,MAA000581,1938,1961781.0
D19.MAA000923.3_9_M.1.1,brain pericyte,Hippocampus,M,3_9_M,MAA000923,4172,465714.0
D19.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926,4120,684102.0
D19.MAA000935.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000935,3919,1631160.0
D19.MAA000941.3_8_M.1.1,endothelial cell,Hippocampus,M,3_8_M,MAA000941,1539,190503.0
D19.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944,5463,2148284.0
D2.B003290.3_38_F.1.1,endothelial cell,Striatum,F,3_38_F,B003290,1545,356522.0
D2.B003728.3_56_F.1.1,oligodendrocyte,Striatum,F,3_56_F,B003728,3647,3673996.0
D2.MAA000564.3_10_M.1.1,oligodendrocyte,Striatum,M,3_10_M,MAA000564,2535,524499.0
D2.MAA000615.3_10_M.1.1,oligodendrocyte precursor cell,Striatum,M,3_10_M,MAA000615,2993,83442.0
D2.MAA000641.3_9_M.1.1,oligodendrocyte precursor cell,Cerebellum,M,3_9_M,MAA000641,4725,3120400.0
D2.MAA000923.3_9_M.1.1,astrocyte,Hippocampus,M,3_9_M,MAA000923,3715,361703.0
D2.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926,3456,1474459.0
D2.MAA000932.3_11_M.1.1,oligodendrocyte precursor cell,Hippocampus,M,3_11_M,MAA000932,3237,502267.0
D2.MAA000935.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000935,5054,1904819.0
D20.B003275.3_38_F.1.1,oligodendrocyte,Hippocampus,F,3_38_F,B003275,2326,938674.0
D20.MAA000560.3_10_M.1.1,astrocyte,Cortex,M,3_10_M,MAA000560,1741,494479.0
D20.MAA000563.3_10_M.1.1,oligodendrocyte,Hippocampus,M,3_10_M,MAA000563,2315,155926.0
D20.MAA000578.3_10_M.1.1,oligodendrocyte precursor cell,Cerebellum,M,3_10_M,MAA000578,5065,1138485.0
D20.MAA000581.3_10_M.1.1,neuron,Cerebellum,M,3_10_M,MAA000581,2919,1940494.0
D20.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926,3929,458097.0
D20.MAA000930.3_8_M.1.1,oligodendrocyte,Cortex,M,3_8_M,MAA000930,3230,339504.0
D20.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944,3092,1624142.0
D20.MAA000947.3_9_M.1.1,astrocyte,Hippocampus,M,3_9_M,MAA000947,3952,935144.0
D20.MAA001853.3_38_F.1.1,neuron,Cerebellum,F,3_38_F,MAA001853,4497,720808.0
D20.MAA001895.3_38_F.1.1,endothelial cell,Cortex,F,3_38_F,MAA001895,2513,71989.0
D21.B003275.3_38_F.1.1,endothelial cell,Hippocampus,F,3_38_F,B003275,2126,591464.0
D21.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560,4433,1389234.0
D21.MAA000561.3_10_M.1.1,endothelial cell,Cortex,M,3_10_M,MAA000561,4505,1892196.0
D21.MAA000578.3_10_M.1.1,astrocyte,Cerebellum,M,3_10_M,MAA000578,1633,224834.0
D21.MAA000930.3_8_M.1.1,oligodendrocyte,Cortex,M,3_8_M,MAA000930,4600,322601.0
D21.MAA000932.3_11_M.1.1,oligodendrocyte,Hippocampus,M,3_11_M,MAA000932,2932,865006.0
D21.MAA000935.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000935,5165,1223676.0
D21.MAA000947.3_9_M.1.1,oligodendrocyte precursor cell,Hippocampus,M,3_9_M,MAA000947,4281,1061495.0
D22.B003275.3_38_F.1.1,endothelial cell,Hippocampus,F,3_38_F,B003275,1682,536725.0
D22.B003290.3_38_F.1.1,neuron,Striatum,F,3_38_F,B003290,3866,518296.0
D22.MAA000561.3_10_M.1.1,neuron,Cortex,M,3_10_M,MAA000561,8714,1659264.0
D22.MAA000563.3_10_M.1.1,oligodendrocyte,Hippocampus,M,3_10_M,MAA000563,2886,237254.0
D22.MAA000578.3_10_M.1.1,oligodendrocyte,Cerebellum,M,3_10_M,MAA000578,3508,1101940.0
D22.MAA000926.3_9_M.1.1,neuron,Cortex,M,3_9_M,MAA000926,3745,224221.0
D22.MAA000930.3_8_M.1.1,oligodendrocyte,Cortex,M,3_8_M,MAA000930,3489,322720.0
D22.MAA000935.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000935,2572,730597.0
D22.MAA000941.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000941,4156,348485.0
D22.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944,2889,1102734.0
D3.B003290.3_38_F.1.1,endothelial cell,Striatum,F,3_38_F,B003290,2624,473404.0
D3.MAA000564.3_10_M.1.1,oligodendrocyte precursor cell,Striatum,M,3_10_M,MAA000564,5034,227426.0
D3.MAA000928.3_9_M.1.1,oligodendrocyte,Cerebellum,M,3_9_M,MAA000928,2972,881575.0
D3.MAA000930.3_8_M.1.1,astrocyte,Cortex,M,3_8_M,MAA000930,2958,407721.0
D3.MAA000932.3_11_M.1.1,endothelial cell,Hippocampus,M,3_11_M,MAA000932,4225,977782.0
D3.MAA000941.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000941,2467,114151.0
D3.MAA000947.3_9_M.1.1,astrocyte,Hippocampus,M,3_9_M,MAA000947,1156,98289.0
D3.MAA001845.3_39_F.1.1,endothelial cell,Cerebellum,F,3_39_F,MAA001845,1938,173490.0
D3.MAA001895.3_38_F.1.1,endothelial cell,Cortex,F,3_38_F,MAA001895,2093,77543.0
D4.B003274.3_38_F.1.1,oligodendrocyte,Striatum,F,3_38_F,B003274,2345,1178397.0
D4.B003290.3_38_F.1.1,endothelial cell,Striatum,F,3_38_F,B003290,1275,298681.0
D4.MAA000550.3_10_M.1.1,oligodendrocyte,Hippocampus,M,3_10_M,MAA000550,4719,5006753.0
D4.MAA000560.3_10_M.1.1,astrocyte,Cortex,M,3_10_M,MAA000560,3933,1455484.0
D4.MAA000564.3_10_M.1.1,astrocyte,Striatum,M,3_10_M,MAA000564,3876,572085.0
D4.MAA000615.3_10_M.1.1,oligodendrocyte,Striatum,M,3_10_M,MAA000615,2850,884119.0
D4.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926,4084,1511013.0
D4.MAA000935.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000935,2917,965712.0
D4.MAA000942.3_8_M.1.1,astrocyte,Striatum,M,3_8_M,MAA000942,3674,332551.0
D4.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944,3706,1973901.0
D4.MAA001845.3_39_F.1.1,endothelial cell,Cerebellum,F,3_39_F,MAA001845,4548,862145.0
D4.MAA001894.3_39_F.1.1,oligodendrocyte,Cortex,F,3_39_F,MAA001894,4817,754942.0
D4.MAA001895.3_38_F.1.1,endothelial cell,Cortex,F,3_38_F,MAA001895,3294,155365.0
D5.B003274.3_38_F.1.1,oligodendrocyte,Striatum,F,3_38_F,B003274,1632,1096432.0
D5.MAA000560.3_10_M.1.1,astrocyte,Cortex,M,3_10_M,MAA000560,2544,789091.0
D5.MAA000564.3_10_M.1.1,endothelial cell,Striatum,M,3_10_M,MAA000564,2389,383630.0
D5.MAA000578.3_10_M.1.1,Bergmann glial cell,Cerebellum,M,3_10_M,MAA000578,3961,976533.0
D5.MAA000615.3_10_M.1.1,oligodendrocyte,Striatum,M,3_10_M,MAA000615,3103,1511389.0
D5.MAA000932.3_11_M.1.1,endothelial cell,Hippocampus,M,3_11_M,MAA000932,1740,375007.0
D5.MAA000941.3_8_M.1.1,astrocyte,Hippocampus,M,3_8_M,MAA000941,2291,87665.0
D5.MAA000944.3_9_M.1.1,astrocyte,Cortex,M,3_9_M,MAA000944,1049,1176874.0
D5.MAA001845.3_39_F.1.1,endothelial cell,Cerebellum,F,3_39_F,MAA001845,2039,141096.0
D6.B003275.3_38_F.1.1,endothelial cell,Hippocampus,F,3_38_F,B003275,3836,1737512.0
D6.MAA000563.3_10_M.1.1,oligodendrocyte precursor cell,Hippocampus,M,3_10_M,MAA000563,3643,932042.0
D6.MAA000615.3_10_M.1.1,astrocyte,Striatum,M,3_10_M,MAA000615,2692,684742.0
D6.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926,3649,1177260.0
D6.MAA000935.3_8_M.1.1,astrocyte,Hippocampus,M,3_8_M,MAA000935,1343,248000.0
D6.MAA000942.3_8_M.1.1,neuron,Striatum,M,3_8_M,MAA000942,5226,628557.0
D6.MAA000944.3_9_M.1.1,astrocyte,Cortex,M,3_9_M,MAA000944,1223,919562.0
D6.MAA000947.3_9_M.1.1,oligodendrocyte precursor cell,Hippocampus,M,3_9_M,MAA000947,4795,951796.0
D6.MAA001894.3_39_F.1.1,endothelial cell,Cortex,F,3_39_F,MAA001894,2329,245023.0
D7.B003275.3_38_F.1.1,endothelial cell,Hippocampus,F,3_38_F,B003275,2649,2083549.0
D7.B003290.3_38_F.1.1,astrocyte,Striatum,F,3_38_F,B003290,2214,419860.0
D7.MAA000560.3_10_M.1.1,oligodendrocyte precursor cell,Cortex,M,3_10_M,MAA000560,4626,1307403.0
D7.MAA000615.3_10_M.1.1,oligodendrocyte,Striatum,M,3_10_M,MAA000615,2985,1561689.0
D7.MAA000638.3_9_M.1.1,neuron,Cerebellum,M,3_9_M,MAA000638,1472,402304.0
D7.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926,4684,1232348.0
D7.MAA000932.3_11_M.1.1,endothelial cell,Hippocampus,M,3_11_M,MAA000932,3391,696740.0
D7.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944,3141,2061248.0
D7.MAA001895.3_38_F.1.1,endothelial cell,Cortex,F,3_38_F,MAA001895,1789,70559.0
D8.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560,3179,992230.0
D8.MAA000563.3_10_M.1.1,oligodendrocyte,Hippocampus,M,3_10_M,MAA000563,2494,625060.0
D8.MAA000564.3_10_M.1.1,oligodendrocyte,Striatum,M,3_10_M,MAA000564,5883,669104.0
D8.MAA000615.3_10_M.1.1,oligodendrocyte,Striatum,M,3_10_M,MAA000615,3444,1832100.0
D8.MAA000923.3_9_M.1.1,oligodendrocyte,Hippocampus,M,3_9_M,MAA000923,3677,869799.0
D8.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926,3345,957306.0
D8.MAA000941.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000941,3779,414354.0
D9.B003275.3_38_F.1.1,oligodendrocyte precursor cell,Hippocampus,F,3_38_F,B003275,2978,1163471.0
D9.B003290.3_38_F.1.1,endothelial cell,Striatum,F,3_38_F,B003290,2427,867671.0
D9.MAA000553.3_10_M.1.1,endothelial cell,Hippocampus,M,3_10_M,MAA000553,4998,3159391.0
D9.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560,4559,1487544.0
D9.MAA000615.3_10_M.1.1,oligodendrocyte,Striatum,M,3_10_M,MAA000615,3275,1908449.0
D9.MAA000923.3_9_M.1.1,oligodendrocyte,Hippocampus,M,3_9_M,MAA000923,2842,797820.0
D9.MAA000925.3_9_M.1.1,oligodendrocyte,Striatum,M,3_9_M,MAA000925,3431,500557.0
D9.MAA000926.3_9_M.1.1,astrocyte,Cortex,M,3_9_M,MAA000926,1363,261417.0
D9.MAA000928.3_9_M.1.1,Bergmann glial cell,Cerebellum,M,3_9_M,MAA000928,1220,949111.0
D9.MAA000935.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000935,3645,1284462.0
D9.MAA001895.3_38_F.1.1,endothelial cell,Cortex,F,3_38_F,MAA001895,2438,104300.0
E1.B003290.3_38_F.1.1,endothelial cell,Striatum,F,3_38_F,B003290,2141,345604.0
E1.MAA000560.3_10_M.1.1,astrocyte,Cortex,M,3_10_M,MAA000560,1055,159166.0
E1.MAA000926.3_9_M.1.1,oligodendrocyte precursor cell,Cortex,M,3_9_M,MAA000926,3998,566703.0
E1.MAA000932.3_11_M.1.1,endothelial cell,Hippocampus,M,3_11_M,MAA000932,2629,472448.0
E1.MAA000935.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000935,5383,1195213.0
E1.MAA000941.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000941,3341,339646.0
E1.MAA000942.3_8_M.1.1,oligodendrocyte precursor cell,Striatum,M,3_8_M,MAA000942,4482,360085.0
E1.MAA001845.3_39_F.1.1,endothelial cell,Cerebellum,F,3_39_F,MAA001845,1864,133798.0
E1.MAA001895.3_38_F.1.1,endothelial cell,Cortex,F,3_38_F,MAA001895,2308,82249.0
E10.B003275.3_38_F.1.1,endothelial cell,Hippocampus,F,3_38_F,B003275,5264,1455049.0
E10.B003290.3_38_F.1.1,endothelial cell,Striatum,F,3_38_F,B003290,3290,1076733.0
E10.MAA000563.3_10_M.1.1,oligodendrocyte precursor cell,Hippocampus,M,3_10_M,MAA000563,4365,403772.0
E10.MAA000581.3_10_M.1.1,oligodendrocyte,Cerebellum,M,3_10_M,MAA000581,2184,314180.0
E10.MAA000923.3_9_M.1.1,neuron,Hippocampus,M,3_9_M,MAA000923,6282,716658.0
E10.MAA000925.3_9_M.1.1,oligodendrocyte,Striatum,M,3_9_M,MAA000925,5366,1053979.0
E10.MAA000926.3_9_M.1.1,astrocyte,Cortex,M,3_9_M,MAA000926,4257,866061.0
E10.MAA000935.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000935,4212,1271150.0
E10.MAA000941.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000941,2896,251645.0
E11.B000621.3_56_F.1.1,astrocyte,Hippocampus,F,3_56_F,B000621,3804,895862.0
E11.B003275.3_38_F.1.1,endothelial cell,Hippocampus,F,3_38_F,B003275,2451,1378031.0
E11.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560,2442,734664.0
E11.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926,3681,764202.0
E11.MAA000932.3_11_M.1.1,endothelial cell,Hippocampus,M,3_11_M,MAA000932,3130,584601.0
E11.MAA000935.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000935,3343,1092632.0
E11.MAA001894.3_39_F.1.1,astrocyte,Cortex,F,3_39_F,MAA001894,2842,334863.0
E12.MAA000581.3_10_M.1.1,endothelial cell,Cerebellum,M,3_10_M,MAA000581,2027,240055.0
E12.MAA000902.3_11_M.1.1,oligodendrocyte,Striatum,M,3_11_M,MAA000902,5241,7693363.0
E12.MAA000924.3_8_M.1.1,neuron,Cerebellum,M,3_8_M,MAA000924,1314,1470013.0
E12.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926,3282,645686.0
E12.MAA000935.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000935,3730,1082499.0
E12.MAA000941.3_8_M.1.1,oligodendrocyte,Hippocampus,M,3_8_M,MAA000941,2976,103156.0
E12.MAA000944.3_9_M.1.1,astrocyte,Cortex,M,3_9_M,MAA000944,3068,1459979.0
E12.MAA000947.3_9_M.1.1,oligodendrocyte,Hippocampus,M,3_9_M,MAA000947,3155,1205723.0
E12.MAA001894.3_39_F.1.1,oligodendrocyte precursor cell,Cortex,F,3_39_F,MAA001894,3749,165964.0
E12.MAA001895.3_38_F.1.1,endothelial cell,Cortex,F,3_38_F,MAA001895,2657,116835.0
E13.B003275.3_38_F.1.1,brain pericyte,Hippocampus,F,3_38_F,B003275,2662,835889.0
E13.B003290.3_38_F.1.1,endothelial cell,Striatum,F,3_38_F,B003290,1880,704890.0
E13.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560,3079,1348033.0
E13.MAA000578.3_10_M.1.1,oligodendrocyte,Cerebellum,M,3_10_M,MAA000578,4915,1558729.0
E13.MAA000581.3_10_M.1.1,endothelial cell,Cerebellum,M,3_10_M,MAA000581,2060,263972.0
E13.MAA000615.3_10_M.1.1,neuron,Striatum,M,3_10_M,MAA000615,4019,1388950.0
E13.MAA000926.3_9_M.1.1,brain pericyte,Cortex,M,3_9_M,MAA000926,3523,543445.0
