cell,cell_ontology_class,subtissue,mouse.sex,mouse.id,plate.barcode,n_genes,n_counts
C21.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560,3556,1442280.0
C21.MAA000581.3_10_M.1.1,endothelial cell,Cerebellum,M,3_10_M,MAA000581,2627,2759043.0
C21.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926,4276,693317.0
C21.MAA000944.3_9_M.1.1,astrocyte,Cortex,M,3_9_M,MAA000944,2088,969469.0
C21.MAA001895.3_38_F.1.1,brain pericyte,Cortex,F,3_38_F,MAA001895,3005,128904.0
C22.B000404.3_56_F.1.1,oligodendrocyte,Cerebellum,F,3_56_F,B000404,2866,648664.0
C22.B003290.3_38_F.1.1,neuron,Striatum,F,3_38_F,B003290,5606,1132745.0
C22.B003728.3_56_F.1.1,astrocyte,Striatum,F,3_56_F,B003728,2853,4866362.0
C22.MAA000553.3_10_M.1.1,endothelial cell,Hippocampus,M,3_10_M,MAA000553,4092,638421.0
C22.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560,2893,1130479.0
C22.MAA000578.3_10_M.1.1,oligodendrocyte,Cerebellum,M,3_10_M,MAA000578,3630,1040998.0
C22.MAA000581.3_10_M.1.1,brain pericyte,Cerebellum,M,3_10_M,MAA000581,2570,2519730.0
C22.MAA000902.3_11_M.1.1,astrocyte,Striatum,M,3_11_M,MAA000902,3228,2514742.0
C22.MAA000932.3_11_M.1.1,oligodendrocyte precursor cell,Hippocampus,M,3_11_M,MAA000932,3638,505691.0
C22.MAA000940.3_8_M.1.1,neuron,Striatum,M,3_8_M,MAA000940,5278,167521.0
C22.MAA000944.3_9_M.1.1,neuron,Cortex,M,3_9_M,MAA000944,4958,1556379.0
C22.MAA001894.3_39_F.1.1,astrocyte,Cortex,F,3_39_F,MAA001894,1291,100748.0
C3.B003290.3_38_F.1.1,endothelial cell,Striatum,F,3_38_F,B003290,1791,327048.0
C3.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560,4592,1809442.0
C3.MAA000564.3_10_M.1.1,neuron,Striatum,M,3_10_M,MAA000564,5416,990564.0
C3.MAA000578.3_10_M.1.1,neuron,Cerebellum,M,3_10_M,MAA000578,1830,374230.0
C3.MAA000638.3_9_M.1.1,oligodendrocyte,Cerebellum,M,3_9_M,MAA000638,821,262981.0
C3.MAA000641.3_9_M.1.1,brain pericyte,Cerebellum,M,3_9_M,MAA000641,3071,2217457.0
C3.MAA000926.3_9_M.1.1,brain pericyte,Cortex,M,3_9_M,MAA000926,3556,1561410.0
C3.MAA000930.3_8_M.1.1,oligodendrocyte,Cortex,M,3_8_M,MAA000930,4486,1397624.0
C3.MAA000932.3_11_M.1.1,endothelial cell,Hippocampus,M,3_11_M,MAA000932,3059,691749.0
C3.MAA000944.3_9_M.1.1,astrocyte,Cortex,M,3_9_M,MAA000944,1402,1477780.0
C3.MAA001845.3_39_F.1.1,endothelial cell,Cerebellum,F,3_39_F,MAA001845,2261,290797.0
C4.B003290.3_38_F.1.1,brain pericyte,Striatum,F,3_38_F,B003290,3163,707077.0
C4.MAA000424.3_11_M.1.1,oligodendrocyte,Cerebellum,M,3_11_M,MAA000424,3565,1821128.0
C4.MAA000923.3_9_M.1.1,oligodendrocyte,Hippocampus,M,3_9_M,MAA000923,2868,367742.0
C4.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926,3730,1654168.0
C4.MAA000930.3_8_M.1.1,oligodendrocyte,Cortex,M,3_8_M,MAA000930,5899,1710070.0
C4.MAA000932.3_11_M.1.1,endothelial cell,Hippocampus,M,3_11_M,MAA000932,3982,1127811.0
C4.MAA000940.3_8_M.1.1,neuron,Striatum,M,3_8_M,MAA000940,4655,101704.0
C4.MAA000942.3_8_M.1.1,oligodendrocyte,Striatum,M,3_8_M,MAA000942,3992,364186.0
C4.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944,4536,2090647.0
C4.MAA001895.3_38_F.1.1,endothelial cell,Cortex,F,3_38_F,MAA001895,3060,148723.0
C5.B003290.3_38_F.1.1,astrocyte,Striatum,F,3_38_F,B003290,3522,600162.0
C5.B003728.3_56_F.1.1,oligodendrocyte,Striatum,F,3_56_F,B003728,1947,1741092.0
C5.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560,2557,1065211.0
C5.MAA000563.3_10_M.1.1,oligodendrocyte precursor cell,Hippocampus,M,3_10_M,MAA000563,3538,1012887.0
C5.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926,3213,1408754.0
C5.MAA000930.3_8_M.1.1,oligodendrocyte,Cortex,M,3_8_M,MAA000930,4247,1614919.0
C5.MAA000932.3_11_M.1.1,endothelial cell,Hippocampus,M,3_11_M,MAA000932,2339,616221.0
C5.MAA000942.3_8_M.1.1,oligodendrocyte,Striatum,M,3_8_M,MAA000942,3867,513866.0
C5.MAA000944.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000944,3169,1731324.0
C5.MAA001895.3_38_F.1.1,endothelial cell,Cortex,F,3_38_F,MAA001895,2025,65294.0
C6.B003290.3_38_F.1.1,endothelial cell,Striatum,F,3_38_F,B003290,2662,639742.0
C6.MAA000560.3_10_M.1.1,oligodendrocyte,Cortex,M,3_10_M,MAA000560,3303,1169603.0
C6.MAA000563.3_10_M.1.1,oligodendrocyte,Hippocampus,M,3_10_M,MAA000563,2716,1055998.0
C6.MAA000615.3_10_M.1.1,oligodendrocyte,Striatum,M,3_10_M,MAA000615,2859,1422769.0
C6.MAA000923.3_9_M.1.1,oligodendrocyte,Hippocampus,M,3_9_M,MAA000923,3001,731005.0
C6.MAA000926.3_9_M.1.1,oligodendrocyte,Cortex,M,3_9_M,MAA000926,3242,1380235.0
C6.MAA000930.3_8_M.1.1,oligodendrocyte,Cortex,M,3_8_M,MAA000930,3265,1635886.0
C6.MAA000932.3_11_M.1.1,neuron,Hippocampus,M,3_11_M,MAA000932,4062,797976.0
C6.MAA000941.3_8_M.1.1,brain pericyte,Hippocampus,M,3_8_M,MAA000941,1954,135653.0
C6.MAA000942.3_8_M.1.1,neuron,Striatum,M,3_8_M,MAA000942,6471,650097.0
C6.MAA000944.3_9_M.1.1,astrocyte,Cortex,M,3_9_M,MAA000944,3348,1685219.0
C7.B003277.3_39_F.1.1,neuron,Hippocampus,F,3_39_F,B003277,1723,2016687.0
C7.B003290.3_38_F.1.1,endothelial cell,Striatum,F,3_38_F,B003290,1140,208432.0
C7.MAA000560.3_10_M.1.1,astrocyte,Cortex,M,3_10_M,MAA000560,2772,723544.0
C7.MAA000615.3_10_M.1.1,oligodendrocyte,Striatum,M,3_10_M,MAA000615,2213,1083684.0
C7.MAA000926.3_9_M.1.1,brain pericyte,Cortex,M,3_9_M,MAA000926,3382,1071420.0
C7.MAA000930.3_8_M.1.1,oligodendrocyte,Cortex,M,3_8_M,MAA000930,5261,1325931.0
C7.MAA000932.3_11_M.1.1,oligodendrocyte precursor cell,Hippocampus,M,3_11_M,MAA000932,3960,1230617.0
C7.MAA000940.3_8_M.1.1,neuron,Striatum,M,3_8_M,MAA000940,5219,132692.0
C7.MAA000942.3_8_M.1.1,oligodendrocyte,Striatum,M,3_8_M,MAA000942,3425,274522.0
C7.MAA001845.3_39_F.1.1,endothelial cell,Cerebellum,F,3_39_F,MAA001845,2618,1000819.0
C8.B003290.3_38_F.1.1,brain pericyte,Striatum,F,3_38_F,B003290,2492,562344.0
C8.MAA000581.3_10_M.1.1,oligodendrocyte,Cerebellum,M,3_10_M,MAA000581,2945,643237.0
